Date,Steps
01-01-19,10725
01-02-19,21012
01-03-19,23876
01-04-19,18170
01-05-19,16548
01-06-19,14679
01-07-19,22879
01-08-19,18495
01-09-19,16569
01-10-19,15864
01-11-19,16522
01-12-19,13890
01-13-19,15814
01-14-19,18804
01-15-19,16282
01-16-19,17539
01-17-19,20683
01-18-19,13591
01-19-19,14651
01-20-19,14782
01-21-19,14560
01-22-19,18124
01-23-19,17947
01-24-19,21469
01-25-19,18746
01-26-19,14217
01-27-19,19479
01-28-19,20583
01-29-19,22519
01-30-19,14420
01-31-19,14804
02-01-19,18308
02-02-19,16178
02-03-19,14302
02-04-19,21921
02-05-19,22102
02-06-19,16080
02-07-19,21671
02-08-19,21077
02-09-19,14678
02-10-19,13714
02-11-19,19122
02-12-19,19578
02-13-19,12770
02-14-19,15002
02-15-19,14214
02-16-19,13519
02-17-19,10513
02-18-19,12111
02-19-19,9261
02-20-19,18604
02-21-19,22222
02-22-19,14902
02-23-19,13560
02-24-19,25399
02-25-19,22400
02-26-19,23463
02-27-19,18777
02-28-19,19190
03-01-19,22407
03-02-19,16075
03-03-19,19159
03-04-19,20686
03-05-19,20842
03-06-19,14893
03-07-19,21883
03-08-19,20351
03-09-19,17100
03-10-19,12292
03-11-19,21896
03-12-19,19390
03-13-19,20303
03-14-19,21383
03-15-19,13539
03-16-19,18649
03-17-19,17808
03-18-19,13777
03-19-19,21820
03-20-19,13296
03-21-19,20087
03-22-19,13321
03-23-19,15415
03-24-19,13603
03-25-19,21923
03-26-19,19581
03-27-19,13921
03-28-19,14381
03-29-19,12837
03-30-19,12232
03-31-19,15523
04-01-19,13548
04-02-19,21982
04-03-19,14559
04-04-19,21533
04-05-19,14313
04-06-19,12868
04-07-19,16679
04-08-19,19687
04-09-19,14526
04-10-19,17495
04-11-19,17683
04-12-19,20243
04-13-19,15666
04-14-19,10123
04-15-19,18121
04-16-19,17167
04-17-19,14542
04-18-19,17681
04-19-19,17611
04-20-19,14100
04-21-19,6074
04-22-19,20117
04-23-19,22234
04-24-19,18761
04-25-19,15834
04-26-19,15564
04-27-19,17677
04-28-19,5234
04-29-19,14246
04-30-19,15899
05-01-19,17253
05-02-19,16734
05-03-19,13257
05-04-19,20524
05-05-19,21254
05-06-19,15574
05-07-19,11802
05-08-19,14956
05-09-19,19205
05-10-19,13743
05-11-19,13491
05-12-19,16098
05-13-19,21520
05-14-19,21941
05-15-19,15652
05-16-19,20181
05-17-19,18333
05-18-19,9403
05-19-19,11613
05-20-19,14901
05-21-19,21974
05-22-19,18223
05-23-19,21691
05-24-19,17639
05-25-19,11460
05-26-19,14176
05-27-19,21440
05-28-19,19885
05-29-19,19059
05-30-19,11229
05-31-19,14289
06-01-19,15495
06-02-19,15115
06-03-19,17039
06-04-19,17621
06-05-19,19643
06-06-19,13876
06-07-19,13691
06-08-19,13601
06-09-19,13733
06-10-19,19274
06-11-19,13540
06-12-19,13146
06-13-19,18826
06-14-19,18990
06-15-19,13163
06-16-19,15747
06-17-19,16004
06-18-19,21938
06-19-19,13642
06-20-19,21424
06-21-19,15005
06-22-19,14418
06-23-19,26589
06-24-19,23704
06-25-19,17108
06-26-19,23500
06-27-19,20319
06-28-19,14869
06-29-19,16014
06-30-19,17448
07-01-19,28060
07-02-19,31417
07-03-19,20375
07-04-19,22122
07-05-19,10425
07-06-19,20825
07-07-19,6789
07-08-19,32774
07-09-19,31808
07-10-19,23015
07-11-19,17058
07-12-19,25058
07-13-19,16583
07-14-19,10351
07-15-19,24696
07-16-19,24236
07-17-19,23268
07-18-19,21091
07-19-19,18668
07-20-19,11700
07-21-19,9164
07-22-19,13695
07-23-19,15134
07-24-19,16388
07-25-19,12357
07-26-19,5819
07-27-19,16045
07-28-19,14592
07-29-19,14915
07-30-19,15398
07-31-19,16926
08-01-19,13435
08-02-19,19314
08-03-19,6518
08-04-19,14449
08-05-19,21838
08-06-19,16290
08-07-19,17533
08-08-19,18963
08-09-19,20344
08-10-19,20061
08-11-19,18829
08-12-19,22759
08-13-19,16137
08-14-19,15920
08-15-19,27792
08-16-19,18497
08-17-19,14039
08-18-19,15707
08-19-19,33363
08-20-19,20172
08-21-19,35299
08-22-19,23623
08-23-19,17624
08-24-19,15735
08-25-19,12136
08-26-19,30559
08-27-19,21911
08-28-19,15686
08-29-19,23505
08-30-19,17406
08-31-19,18846
09-01-19,15017
09-02-19,19524
09-03-19,24599
09-04-19,10983
09-05-19,13636
09-06-19,27625
09-07-19,28564
09-08-19,28667
09-09-19,22989
09-10-19,21720
09-11-19,18772
09-12-19,21109
09-13-19,11695
09-14-19,18282
09-15-19,16669
09-16-19,15682
09-17-19,25344
09-18-19,37687
09-19-19,25429
09-20-19,18358
09-21-19,14514
09-22-19,23618
09-23-19,25430
09-24-19,15150
09-25-19,21527
09-26-19,18788
09-27-19,14301
09-28-19,9296
09-29-19,11263
09-30-19,26423
10-01-19,35407
10-02-19,26337
10-03-19,25903
10-04-19,24556
10-05-19,19800
10-06-19,14501
10-07-19,10927
10-08-19,10624
10-09-19,15897
10-10-19,14035
10-11-19,10157
10-12-19,14947
10-13-19,10160
10-14-19,12142
10-15-19,15264
10-16-19,13069
10-17-19,13964
10-18-19,15636
10-19-19,13033
10-20-19,17957
10-21-19,9611
10-22-19,21635
10-23-19,16270
10-24-19,14599
10-25-19,14162
10-26-19,12433
10-27-19,14853
10-28-19,13368
10-29-19,15090
10-30-19,24801
10-31-19,12333
11-01-19,13186
11-02-19,13387
11-03-19,16875
11-04-19,17854
11-05-19,21111
11-06-19,21758
11-07-19,16257
11-08-19,11611
11-09-19,2874
11-10-19,2467
11-11-19,1123
11-12-19,10243
11-13-19,8290
11-14-19,7890
11-15-19,4796
11-16-19,5268
11-17-19,7075
11-18-19,1797
11-19-19,6692
11-20-19,2221
11-21-19,18363
11-22-19,15203
11-23-19,4855
11-24-19,5065
11-25-19,16230
11-26-19,21121
11-27-19,13023
11-28-19,11848
11-29-19,13623
11-30-19,6021
12-01-19,15213
12-02-19,10928
12-03-19,4485
12-04-19,8049
12-05-19,13821
12-06-19,14514
12-07-19,4870
12-08-19,14544
12-09-19,13931
12-10-19,23974
12-11-19,20864
12-12-19,19519
12-13-19,11769
12-14-19,24807
12-15-19,6735
12-16-19,9143
12-17-19,24229
12-18-19,24495
12-19-19,21600
12-20-19,8770
12-21-19,18200
12-22-19,9205
12-23-19,8046
12-24-19,13540
12-25-19,4680
12-26-19,13104
12-27-19,13452
12-28-19,4559
12-29-19,5803
12-30-19,20056
12-31-19,14255
