Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"5 Guinness: 14 md"	"12/31/2014"	"01/01/2015"	""	""	""
"3 Guinness: 15 md"	"12/29/2014"	"12/30/2014"	""	""	""
"4 Guinness: 4 beers"	"12/28/2014"	"12/29/2014"	""	""	""
"4 Guinness: 2 md"	"12/27/2014"	"12/28/2014"	""	""	""
"6 Guinness: 1 beer"	"12/26/2014"	"12/27/2014"	""	""	""
"2 Guinness: 3 beers"	"12/19/2014"	"12/20/2014"	""	""	""
"2 Guinness: 11 md: 3 shots"	"12/20/2014"	"12/21/2014"	""	""	""
"1 Guinness: 16 md: 1 shot"	"12/12/2014"	"12/13/2014"	""	""	""
"5 Guinness: 1 shot"	"12/07/2014"	"12/08/2014"	""	""	""
"12 md: 2 shots"	"12/06/2014"	"12/07/2014"	""	""	""
"15 md"	"11/28/2014"	"11/29/2014"	""	""	""
"17 md"	"11/22/2014"	"11/23/2014"	""	""	""
"5 Guinness: 1 beer"	"11/16/2014"	"11/17/2014"	""	""	""
"12 md"	"11/15/2014"	"11/16/2014"	""	""	""
"18 md"	"11/14/2014"	"11/15/2014"	""	""	""
"14 md"	"11/08/2014"	"11/09/2014"	""	""	""
"3 md"	"11/07/2014"	"11/08/2014"	""	""	""
"5 Guinness: 1 shot"	"11/11/2014"	"11/12/2014"	""	""	""
"5 Guinness: 1 shot"	"11/04/2014"	"11/05/2014"	""	""	""
"6 Guinness: 9 md: 2 shots"	"11/01/2014"	"11/02/2014"	""	""	""
"2 Guinness: 5 beers: 5 md: 2 shots"	"10/31/2014"	"11/01/2014"	""	""	""
"4 md: 5 shots"	"10/24/2014"	"10/25/2014"	""	""	""
"5 Guinness: 2 shots"	"10/12/2014"	"10/13/2014"	""	""	""
"8 md"	"10/11/2014"	"10/12/2014"	""	""	""
"3 Guinness: 3 md"	"10/10/2014"	"10/11/2014"	""	""	""
"5 Guinness: 1 shot"	"10/07/2014"	"10/08/2014"	""	""	""
"8 md"	"10/04/2014"	"10/05/2014"	""	""	""
"5 Guinness: 2 md: 4 shots"	"10/03/2014"	"10/04/2014"	""	""	""
"3 Guinness: 1 beer"	"10/02/2014"	"10/03/2014"	""	""	""
"3 Guinness: 3 beers"	"09/28/2014"	"09/29/2014"	""	""	""
"12 beers: 8 md"	"09/27/2014"	"09/28/2014"	""	""	""
"8 beers: 21 md"	"09/26/2014"	"09/27/2014"	""	""	""
"3 Guinness: 2 beers: 6 md"	"09/25/2014"	"09/26/2014"	""	""	""
"4 Guinness: 1 beer: 1 shot"	"09/18/2014"	"09/19/2014"	""	""	""
"3 Guinness: 1 shot"	"09/16/2014"	"09/17/2014"	""	""	""
"14 md"	"09/13/2014"	"09/14/2014"	""	""	""
"4 Guinness: 1 beer: 2 md: 1 shot"	"09/07/2014"	"09/08/2014"	""	""	""
"2 Guinness: 4 beers: 5 md"	"08/23/2014"	"08/24/2014"	""	""	""
"9 md"	"08/09/2014"	"08/10/2014"	""	""	""
"17 md: 2 shots"	"08/02/2014"	"08/03/2014"	""	""	""
"6 Guinness: 1 beer: 2 md"	"07/25/2014"	"07/26/2014"	""	""	""
"8 Guinness: 9 md: 2 shots"	"07/19/2014"	"07/20/2014"	""	""	""
"12 md: 1 shot"	"07/18/2014"	"07/19/2014"	""	""	""
"2 Guinness: 2 beers: 15 md"	"07/26/2014"	"07/27/2014"	""	""	""
"10 md"	"07/12/2014"	"07/13/2014"	""	""	""
"12 Guinness: 5 shots: 3 md"	"07/04/2014"	"07/05/2014"	""	""	""
"1 beer: 8 md"	"06/28/2014"	"06/29/2014"	""	""	""
"4 Guinness: 1 beer"	"06/27/2014"	"06/28/2014"	""	""	""
"4 Guinness: 10 md"	"06/21/2014"	"06/22/2014"	""	""	""
"2 md"	"06/20/2014"	"06/21/2014"	""	""	""
"4 Guinness: 4 md"	"06/14/2014"	"06/15/2014"	""	""	""
"3 Guinness: 3 beers"	"06/13/2014"	"06/14/2014"	""	""	""
"5 md"	"06/12/2014"	"06/13/2014"	""	""	""
"8 md"	"06/07/2014"	"06/08/2014"	""	""	""
"4 Guinness: 2 beers: 16 md"	"05/31/2014"	"06/01/2014"	""	""	""
"9 md"	"05/17/2014"	"05/18/2014"	""	""	""
"4 Guinness: 1 shot"	"05/15/2014"	"05/16/2014"	""	""	""
"2 Guinness: 3 beers"	"05/14/2014"	"05/15/2014"	""	""	""
"4 Guinness: 8 md: 1 shot"	"05/10/2014"	"05/11/2014"	""	""	""
"4 Guinness: 1 shot"	"05/08/2014"	"05/09/2014"	""	""	""
"10 Guinness: 1 shot"	"05/03/2014"	"05/04/2014"	""	""	""
"1 Guinness: 1 beer"	"05/02/2014"	"05/03/2014"	""	""	""
"5 Guinness: 1 shot"	"05/01/2014"	"05/02/2014"	""	""	""
"2 beers: 8 md: 1 shot"	"04/25/2014"	"04/26/2014"	""	""	""
"5 Guinness: 1 shot"	"04/24/2014"	"04/25/2014"	""	""	""
"4 Guinness: 1 beer"	"04/20/2014"	"04/21/2014"	""	""	""
"2 Guinness: 12 md: 3 shots"	"04/18/2014"	"04/19/2014"	""	""	""
"2 Guinness: 4 beers: 30 md"	"04/12/2014"	"04/13/2014"	""	""	""
"5 Guinness: 1 beer: 1 shot"	"04/11/2014"	"04/12/2014"	""	""	""
"6 md: 1 shot"	"04/04/2014"	"04/05/2014"	""	""	""
"12 md: 2 shots"	"03/29/2014"	"03/30/2014"	""	""	""
"5 Guinness: 1 beer"	"03/27/2014"	"03/28/2014"	""	""	""
"5 Guinness: 1 shot"	"03/20/2014"	"03/21/2014"	""	""	""
"3 Guinness: 1 shot"	"03/18/2014"	"03/19/2014"	""	""	""
"5 Guinness: 9 md"	"03/15/2014"	"03/16/2014"	""	""	""
"3 Guinness: 1 beer"	"03/14/2014"	"03/15/2014"	""	""	""
"2 Guinness: 2 beers"	"03/11/2014"	"03/12/2014"	""	""	""
"3 Guinness: 1 md"	"03/08/2014"	"03/09/2014"	""	""	""
"2 Guinness: 22 md: 1 shot"	"03/07/2014"	"03/08/2014"	""	""	""
"8 beers: 1 md"	"03/06/2014"	"03/07/2014"	""	""	""
"17 md: 1 shot"	"02/28/2014"	"03/01/2014"	""	""	""
"1 Guinness: 1 shot: 6 md"	"03/01/2014"	"03/02/2014"	""	""	""
"12 md"	"02/22/2014"	"02/23/2014"	""	""	""
"3 Guinness: 1 shot"	"02/18/2014"	"02/19/2014"	""	""	""
"5 Guinness: 16 shots"	"02/15/2014"	"02/16/2014"	""	""	""
"2 beers"	"02/11/2014"	"02/12/2014"	""	""	""
"8 md: 1 shot"	"02/08/2014"	"02/09/2014"	""	""	""
"4 Guinness: 1 shot"	"02/06/2014"	"02/07/2014"	""	""	""
"6 Guinness: 1 md"	"02/02/2014"	"02/03/2014"	""	""	""
"4 beers: 7 md: 1 shot"	"01/31/2014"	"02/01/2014"	""	""	""
"10 md"	"01/25/2014"	"01/26/2014"	""	""	""
"3 beers: 8 md"	"01/18/2014"	"01/19/2014"	""	""	""
"2 beers"	"01/21/2014"	"01/22/2014"	""	""	""
"2 Guinness: 8 md"	"01/17/2014"	"01/18/2014"	""	""	""
"12 md"	"01/11/2014"	"01/12/2014"	""	""	""
"2 Guinness: 1 md"	"01/01/2014"	"01/02/2014"	""	""	""
"2 md"	"01/02/2014"	"01/03/2014"	""	""	""
"8 Guinness"	"12/30/2014"	"12/31/2014"	""	""	""
"6 Guinness"	"12/25/2014"	"12/26/2014"	""	""	""
"1 beer"	"12/22/2014"	"12/23/2014"	""	""	""
"4 Guinness"	"12/16/2014"	"12/17/2014"	""	""	""
"4 Guinness"	"11/25/2014"	"11/26/2014"	""	""	""
"4 Guinness"	"12/02/2014"	"12/03/2014"	""	""	""
"2 beers"	"12/09/2014"	"12/10/2014"	""	""	""
"6 Guinness"	"11/30/2014"	"12/01/2014"	""	""	""
"5 Guinness"	"12/14/2014"	"12/15/2014"	""	""	""
"5 Guinness"	"11/27/2014"	"11/28/2014"	""	""	""
"6 Guinness"	"11/21/2014"	"11/22/2014"	""	""	""
"5 Guinness"	"11/18/2014"	"11/19/2014"	""	""	""
"6 Guinness"	"11/23/2014"	"11/24/2014"	""	""	""
"4 Guinness"	"10/21/2014"	"10/22/2014"	""	""	""
"5 beers"	"10/25/2014"	"10/26/2014"	""	""	""
"4 Guinness"	"10/28/2014"	"10/29/2014"	""	""	""
"1 beer"	"11/05/2014"	"11/06/2014"	""	""	""
"4 Guinness"	"10/14/2014"	"10/15/2014"	""	""	""
"1 beer"	"10/17/2014"	"10/18/2014"	""	""	""
"7 Guinness"	"10/18/2014"	"10/19/2014"	""	""	""
"4 Guinness"	"10/19/2014"	"10/20/2014"	""	""	""
"4 Guinness"	"10/05/2014"	"10/06/2014"	""	""	""
"4 Guinness"	"09/30/2014"	"10/01/2014"	""	""	""
"4 Guinness"	"09/02/2014"	"09/03/2014"	""	""	""
"5 Guinness"	"09/14/2014"	"09/15/2014"	""	""	""
"5 Guinness"	"09/21/2014"	"09/22/2014"	""	""	""
"6 Guinness"	"08/30/2014"	"08/31/2014"	""	""	""
"4 beers"	"08/24/2014"	"08/25/2014"	""	""	""
"8 Guinness"	"08/28/2014"	"08/29/2014"	""	""	""
"5 Guinness"	"08/26/2014"	"08/27/2014"	""	""	""
"5 Guinness"	"08/19/2014"	"08/20/2014"	""	""	""
"4 Guinness"	"08/21/2014"	"08/22/2014"	""	""	""
"6 Guinness"	"08/31/2014"	"09/01/2014"	""	""	""
"2 Guinness"	"08/18/2014"	"08/19/2014"	""	""	""
"2 Guinness"	"08/13/2014"	"08/14/2014"	""	""	""
"2 beers"	"08/16/2014"	"08/17/2014"	""	""	""
"2 Guinness"	"08/04/2014"	"08/05/2014"	""	""	""
"5 Guinness"	"08/14/2014"	"08/15/2014"	""	""	""
"5 Guinness"	"08/07/2014"	"08/08/2014"	""	""	""
"4 Guinness"	"08/05/2014"	"08/06/2014"	""	""	""
"4 Guinness"	"08/12/2014"	"08/13/2014"	""	""	""
"5 Guinness"	"07/24/2014"	"07/25/2014"	""	""	""
"4 Guinness"	"07/22/2014"	"07/23/2014"	""	""	""
"5 Guinness"	"07/29/2014"	"07/30/2014"	""	""	""
"4 Guinness"	"07/15/2014"	"07/16/2014"	""	""	""
"6 Guinness"	"07/08/2014"	"07/09/2014"	""	""	""
"4 Guinness"	"07/05/2014"	"07/06/2014"	""	""	""
"4 Guinness"	"07/17/2014"	"07/18/2014"	""	""	""
"2 Guinness"	"07/03/2014"	"07/04/2014"	""	""	""
"4 Guinness"	"06/26/2014"	"06/27/2014"	""	""	""
"6 Guinness"	"07/01/2014"	"07/02/2014"	""	""	""
"1 Guinness"	"06/23/2014"	"06/24/2014"	""	""	""
"4 Guinness"	"06/05/2014"	"06/06/2014"	""	""	""
"4 beers"	"06/15/2014"	"06/16/2014"	""	""	""
"3 Guinness"	"06/19/2014"	"06/20/2014"	""	""	""
"2 Guinness"	"06/22/2014"	"06/23/2014"	""	""	""
"1 Guinness"	"05/26/2014"	"05/27/2014"	""	""	""
"4 Guinness"	"05/27/2014"	"05/28/2014"	""	""	""
"4 Guinness"	"05/29/2014"	"05/30/2014"	""	""	""
"4 Guinness"	"05/22/2014"	"05/23/2014"	""	""	""
"4 Guinness"	"05/20/2014"	"05/21/2014"	""	""	""
"1 Guinness"	"04/28/2014"	"04/29/2014"	""	""	""
"4 Guinness"	"04/29/2014"	"04/30/2014"	""	""	""
"4 Guinness"	"05/06/2014"	"05/07/2014"	""	""	""
"5 Guinness"	"04/22/2014"	"04/23/2014"	""	""	""
"4 Guinness"	"04/15/2014"	"04/16/2014"	""	""	""
"1 Guinness"	"04/16/2014"	"04/17/2014"	""	""	""
"4 Guinness"	"04/17/2014"	"04/18/2014"	""	""	""
"4 Guinness"	"04/10/2014"	"04/11/2014"	""	""	""
"4 Guinness"	"03/25/2014"	"03/26/2014"	""	""	""
"5 Guinness"	"04/01/2014"	"04/02/2014"	""	""	""
"4 Guinness"	"04/03/2014"	"04/04/2014"	""	""	""
"4 Guinness"	"04/08/2014"	"04/09/2014"	""	""	""
"1 Guinness"	"04/07/2014"	"04/08/2014"	""	""	""
"4 Guinness"	"03/13/2014"	"03/14/2014"	""	""	""
"1 Guinness"	"03/17/2014"	"03/18/2014"	""	""	""
"1 Guinness"	"03/05/2014"	"03/06/2014"	""	""	""
"4 Guinness"	"03/04/2014"	"03/05/2014"	""	""	""
"4 Guinness"	"02/20/2014"	"02/21/2014"	""	""	""
"4 Guinness"	"02/13/2014"	"02/14/2014"	""	""	""
"4 Guinness"	"02/27/2014"	"02/28/2014"	""	""	""
"3 Guinness"	"02/25/2014"	"02/26/2014"	""	""	""
"1 Guinness"	"02/10/2014"	"02/11/2014"	""	""	""
"3 Guinness"	"02/04/2014"	"02/05/2014"	""	""	""
"4 Guinness"	"01/30/2014"	"01/31/2014"	""	""	""
"2 Guinness"	"01/29/2014"	"01/30/2014"	""	""	""
"4 Guinness"	"01/19/2014"	"01/20/2014"	""	""	""
"2 Guinness"	"01/14/2014"	"01/15/2014"	""	""	""
"4 Guinness: 1 shot"	"09/04/2014"	"09/05/2014"	""	""	""
"5 Guinness: 8 md: 1 shot"	"09/20/2014"	"09/21/2014"	""	""	""

